name|email|country|products
 |info@albertogozzi.it|Via della Lama, 31/31AChiesina Uzzanese-51013Italy | Footwear : Women's shoes, Sandals, 
Alberto Rosi Agent |info@albertorosi.it|Via Lazio 42P.O. Box 51018Pieve A Nievole-Italy | Hides and Skins : Wet salted, Limed, Pickled, Wet blue, Chrome crust, Vegetable crust, Leather : Footwear – upper leather, Leathergoods leather, Footwear – lining leather, Sole leather, Garment leather, Split leather, Footwear : Men's shoes, Women's shoes, Children shoes, Sandals, Boots, Safety, Military, Shoe components, Garments and Gloves : Jacket, coats, Trousers, Motorcycling, Other - garments, Leather Goods : Small leather goods, Large leather goods, 
Carrea Enrico Export Manager |info@carreaonline.it|Via Piave 6/10Genova (GE)-16145Italy | Footwear : Shoe components, 
 |info@anci-calzature.com|Via Monte Rosa 21Milan-20149Italy | 
 |fratellire@attica.it|Via dell'Artigianato 22-24Zona D3Alessandria-15100Italy | Footwear : Women's shoes, 
 |customerservice@attiliogiustileombruni.com|Via Veregrense 76Montegranaro (AP)-63014Italy | Footwear : Women's shoes, Sandals, Boots, Sport, 
 |info@angeletti.com|Via Veregrense, 211Montegranaro (AP)-63014Italy | Footwear : Other - footwear, Shoe components, 
 |info@bavshoes.com|Via P.L. Albini 22P.O. Box 150Vigevano-27029Italy | Footwear : Men's shoes, Women's shoes, Children shoes, Sandals, Boots, 
 |info@balducci.it|Del Melo 1Pieve a Nievole-51018Italy | Footwear : Children shoes, 
 |francoballin@sifrancoballin.com|Via Tramazzo, 10 QuaterFiesso d'Artico (VE)-30032Italy | Footwear : Men's shoes, 
 |bordinificiobarbieri@tin.it|Via Marco Polo, 10Valeggio Sul Mincio (VR)-37067Italy | Footwear : Shoe components, Leather Goods : Other - leather goods, 
Dott. Giorgio Bartoli |info@bartolispa.it|Via Traversa di Parezzana 12/16Carraia (LU)-55061Italy | Footwear : Shoe components, 
 |beplast@beplast.it|Via Turati, 7Parabiago (MI)-20015Italy | Footwear : Shoe components, 
 |berdini@berdini.com|Via della Cooperazione, 3Porto S. Elpidio (AP)-63018Italy | Footwear : Shoe components, 
 |info@bomar-spa.com|Via C. Pannocchia 7Ponte a Egola (Pl)-56024Italy | Hides and Skins : Chrome crust, Vegetable crust, Leather : Footwear – upper leather, Footwear – lining leather, Garment leather, Footwear : Women's shoes, Garments and Gloves : Jacket, coats, 
 |info@brunate.it|Via del Seprio, 54Lomazzo-22074Italy | Footwear : Men's shoes, Women's shoes, Boots, 
Federico Magrini General Director |info@magrinishoes.com|Via Soldaini 41Loc. BassaCerreto Guidi (Firenze)-50050Italy | Footwear : Men's shoes, Sport, 
 |impuls@puntomedia.it|Via Miralbello, 4San Lorenzo in Campo (PU)-61047Italy | Footwear : Men's shoes, Women's shoes, 
 |cappellisrl@inwind.it|Via Rocca Tedalda, 31Firenze (FI)-50136Italy | Footwear : Shoe components, Leather Goods : Other - leather goods, 
 |com@cac.it|Via MacerataMonte San Giusto (MC)-62015Italy | Footwear : Shoe components, 
 |certaldese@certaldese.it|Via delle Citta 27Certaldo (FI)-50052Italy | Footwear : Shoe components, Garments and Gloves : Other - garments, 
 ||Via Friuli 12/BMonte Urano (AP)-63015Italy | Hides and Skins : Chrome crust, Leather : Leathergoods leather, Footwear – lining leather, Upholstery leather, 
 |ctc@ctc.it|Via Willy Weber, 24Tolentino (MC)-62029Italy | Hides and Skins : Chrome crust, Leather : Footwear – upper leather, Leathergoods leather, Other - leather, Footwear – lining leather, Footwear : Women's shoes, 
 |succ@guidi.it|Via Stignanese 76Ponte Buggianese (PT)-51019Italy | Hides and Skins : Vegetable crust, Leather : Footwear – upper leather, Leathergoods leather, Automotive leather, Footwear – lining leather, Sole leather, Garment leather, 
Enzo Costa Titular |costenz@tiscali.it|Via Villafranca 26 EVigasio (VE)-37068Italy | Footwear : Other - footwear, 
 |info@degam.it|Via de Gasperi, 2/BMonteurano (AP)-63015Italy | Footwear : Shoe components, 
 |info@delbrenta.com|Via Julia 1/3Perarolo di Vigonza (PD)-35010Italy | Footwear : Shoe components, 
 |vinicio.borgato@tin.it|Piazza Marconi (Vic. Fossolovara)Stra (VE)-30039Italy | Footwear : Women's shoes, 
